Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,CrdR/90,CrdY/90,PrgR/90,PrgC/90,PrgP/90
Marc Guiu,ESP,FW,Barcelona,18.0,2006.0,3,1,74,0.8,1.22,0.0,1.22,1.22,1.22,0.92,0.32,1.24,0.92,1.24,0.0,1.25,10.0,1.25,1.25
Arda Güler,TUR,FW,Real Madrid,19.0,2005.0,8,3,258,2.9,1.05,0.0,1.05,1.05,1.05,0.34,0.0,0.34,0.34,0.34,0.0,0.34,5.52,2.76,4.14
Gerard Gumbau,ESP,MF,Granada,29.0,1994.0,32,28,2404,26.7,0.0,0.11,0.11,0.0,0.11,0.06,0.14,0.2,0.06,0.2,0.0,0.45,0.94,0.67,4.72
İlkay Gündoğan,GER,MF,Barcelona,33.0,1990.0,34,31,2814,31.3,0.16,0.26,0.42,0.13,0.38,0.24,0.33,0.56,0.19,0.51,0.0,0.16,3.64,2.17,6.49
Jon Guridi,ESP,MF,Alavés,29.0,1995.0,33,32,2473,27.5,0.11,0.15,0.25,0.11,0.25,0.14,0.12,0.26,0.14,0.26,0.0,0.07,3.16,0.98,3.85
Gorka Guruzeta,ESP,FW,Athletic Club,27.0,1996.0,32,30,2217,24.6,0.57,0.2,0.77,0.57,0.77,0.47,0.1,0.57,0.44,0.54,0.0,0.08,4.15,0.73,2.24
Miguel Gutiérrez,ESP,DF,Girona,22.0,2001.0,33,33,2894,32.2,0.06,0.19,0.25,0.06,0.25,0.08,0.22,0.3,0.08,0.3,0.0,0.12,5.16,2.27,4.22
Munir El Haddadi,MAR,FW,Las Palmas,28.0,1995.0,35,30,2320,25.8,0.12,0.08,0.19,0.12,0.19,0.16,0.07,0.24,0.13,0.21,0.0,0.12,6.24,0.97,2.95
Ianis Hagi,ROU,MF,Alavés,25.0,1998.0,19,6,640,7.1,0.0,0.28,0.28,0.0,0.28,0.37,0.25,0.62,0.26,0.51,0.0,0.28,6.9,1.97,3.94
Luiz Henrique,BRA,FW,Betis,23.0,2001.0,14,6,616,6.8,0.0,0.44,0.44,0.0,0.44,0.18,0.24,0.42,0.18,0.42,0.0,0.15,8.53,5.15,2.5
