Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,CrdR/90,CrdY/90,PrgR/90,PrgC/90,PrgP/90
Pavel Kadeřábek,CZE,DF,Hoffenheim,32.0,1992.0,26,25,2142,23.8,0.08,0.13,0.21,0.08,0.21,0.1,0.17,0.27,0.1,0.27,0.0,0.29,5.59,1.39,3.07
Florian Kainz,AUT,MF,Köln,31.0,1992.0,30,27,2039,22.7,0.18,0.18,0.35,0.0,0.18,0.18,0.14,0.32,0.04,0.18,0.0,0.13,3.83,1.72,4.85
Sasa Kalajdzic,AUT,FW,Eint Frankfurt,26.0,1997.0,5,5,325,3.6,0.0,0.28,0.28,0.0,0.28,0.05,0.14,0.19,0.05,0.19,0.0,0.0,2.5,0.28,2.22
Jakub Kamiński,POL,FW,Wolfsburg,21.0,2002.0,14,3,312,3.5,0.0,0.0,0.0,0.0,0.0,0.11,0.05,0.15,0.11,0.15,0.0,0.0,9.43,2.57,4.29
Kevin Kampl,SVN,MF,RB Leipzig,33.0,1990.0,23,14,1321,14.7,0.07,0.0,0.07,0.07,0.07,0.01,0.11,0.12,0.01,0.12,0.0,0.2,1.36,1.63,5.78
Harry Kane,ENG,FW,Bayern Munich,30.0,1993.0,31,31,2749,30.5,1.15,0.26,1.41,1.01,1.28,0.96,0.2,1.16,0.86,1.06,0.0,0.07,5.31,1.18,3.28
Atakan Karazor,GER,MF,Stuttgart,27.0,1996.0,30,29,2470,27.4,0.0,0.11,0.11,0.0,0.11,0.04,0.08,0.12,0.03,0.12,0.0,0.33,1.13,0.84,4.64
Emir Karic,AUT,DF,Darmstadt 98,26.0,1997.0,24,15,1529,17.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09,0.0,0.24,4.29,3.0,6.12
Silas Katompa,COD,FW,Stuttgart,25.0,1998.0,24,8,834,9.3,0.32,0.11,0.43,0.32,0.43,0.55,0.22,0.78,0.47,0.69,0.0,0.0,13.12,4.62,2.58
Mikkel Kaufmann,DEN,FW,Union Berlin,23.0,2001.0,18,4,486,5.4,0.19,0.0,0.19,0.19,0.19,0.24,0.18,0.42,0.24,0.42,0.0,0.0,6.3,1.11,2.04
Naby Keïta,GUI,MF,Werder Bremen,29.0,1995.0,5,1,109,1.2,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,0.0,1.67,3.33,0.83,10.83
Yannik Keitel,GER,DF,Freiburg,24.0,2000.0,12,8,650,7.2,0.14,0.0,0.14,0.14,0.14,0.08,0.05,0.13,0.08,0.13,0.0,0.0,0.97,0.56,4.86
Thomas Keller,GER,MF,Heidenheim,24.0,1999.0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Aljoscha Kemlein,GER,MF,Union Berlin,19.0,2004.0,2,0,29,0.3,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,0.0,0.0,3.33,0.0,0.0
Tobias Kempe,GER,MF,Darmstadt 98,34.0,1989.0,22,14,1250,13.9,0.22,0.14,0.36,0.0,0.14,0.26,0.14,0.4,0.09,0.23,0.0,0.07,3.31,0.94,2.95
Rani Khedira,GER,MF,Union Berlin,30.0,1994.0,18,16,1210,13.4,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,0.07,0.3,0.97,0.45,2.01
Luca Kilian,GER,DF,Köln,24.0,1999.0,13,6,635,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.14,0.14,0.99,1.69
Joshua Kimmich,GER,MF,Bayern Munich,29.0,1995.0,25,24,1933,21.5,0.05,0.28,0.33,0.05,0.33,0.05,0.33,0.37,0.05,0.37,0.05,0.05,4.7,2.42,10.28
Christoph Klarer,AUT,DF,Darmstadt 98,23.0,2000.0,27,25,2084,23.2,0.09,0.09,0.17,0.09,0.17,0.05,0.04,0.09,0.05,0.09,0.0,0.34,0.47,0.39,2.59
Tim Kleindienst,GER,FW,Heidenheim,28.0,1995.0,31,31,2695,29.9,0.37,0.1,0.47,0.3,0.4,0.45,0.1,0.55,0.4,0.49,0.0,0.13,5.65,1.3,2.21
Lukas Klostermann,GER,DF,RB Leipzig,27.0,1996.0,23,14,1270,14.1,0.07,0.0,0.07,0.07,0.07,0.05,0.03,0.08,0.05,0.08,0.0,0.21,0.57,0.99,5.89
Ansgar Knauff,GER,MF,Eint Frankfurt,22.0,2002.0,28,22,1908,21.2,0.33,0.05,0.38,0.33,0.38,0.26,0.07,0.32,0.26,0.32,0.05,0.28,6.93,3.3,2.31
Robin Knoche,GER,DF,Union Berlin,31.0,1992.0,21,18,1735,19.3,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.07,0.02,0.02,0.0,0.0,0.1,0.1,3.68
Gregor Kobel,SUI,GK,Dortmund,26.0,1997.0,25,25,2185,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
Robin Koch,GER,DF,Eint Frankfurt,27.0,1996.0,28,28,2468,27.4,0.07,0.0,0.07,0.07,0.07,0.11,0.01,0.11,0.11,0.11,0.0,0.33,0.11,0.51,3.91
Dominik Kohr,GER,DF,Mainz 05,30.0,1994.0,28,24,1914,21.3,0.05,0.0,0.05,0.05,0.05,0.08,0.05,0.13,0.08,0.13,0.05,0.61,1.17,0.89,4.27
Randal Kolo Muani,FRA,FW,Eint Frankfurt,25.0,1998.0,2,2,153,1.7,0.59,0.0,0.59,0.59,0.59,0.77,0.0,0.77,0.77,0.77,0.0,0.0,5.29,3.53,1.76
Mert Kömür,GER,MF,Augsburg,18.0,2005.0,2,0,27,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.33,3.33,0.0
Kouadio Koné,FRA,MF,M'Gladbach,22.0,2001.0,19,15,1322,14.7,0.07,0.0,0.07,0.07,0.07,0.07,0.06,0.12,0.07,0.12,0.07,0.27,3.33,2.11,3.95
Odilon Kossonou,CIV,DF,Leverkusen,23.0,2001.0,19,18,1568,17.4,0.06,0.0,0.06,0.06,0.06,0.03,0.04,0.07,0.03,0.07,0.0,0.17,1.03,1.95,6.49
Matej Kovar,CZE,GK,Leverkusen,23.0,2000.0,1,1,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dawid Kownacki,POL,FW,Werder Bremen,27.0,1997.0,19,3,358,4.0,0.0,0.0,0.0,0.0,0.0,0.27,0.08,0.35,0.27,0.35,0.0,0.0,5.5,1.0,1.5
Alex Král,CZE,MF,Union Berlin,25.0,1998.0,23,13,1349,15.0,0.0,0.0,0.0,0.0,0.0,0.11,0.02,0.14,0.11,0.14,0.0,0.13,2.53,1.0,2.93
Andrej Kramarić,CRO,MF,Hoffenheim,32.0,1991.0,27,22,1929,21.4,0.51,0.14,0.65,0.28,0.42,0.42,0.25,0.67,0.23,0.48,0.0,0.14,6.64,2.66,4.72
Christoph Kramer,GER,MF,M'Gladbach,33.0,1991.0,14,1,249,2.8,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.04,0.09,0.0,1.43,2.86,3.57,6.07
Frans Krätzig,GER,DF,Bayern Munich,21.0,2003.0,4,0,56,0.6,0.0,0.0,0.0,0.0,0.0,0.42,0.42,0.84,0.42,0.84,0.0,0.0,11.67,0.0,11.67
Tom Krauß,GER,MF,Mainz 05,22.0,2001.0,27,13,1322,14.7,0.07,0.14,0.2,0.07,0.2,0.05,0.02,0.08,0.05,0.08,0.0,0.34,1.9,0.82,4.29
Lukas Kübler,GER,DF,Freiburg,31.0,1992.0,23,19,1577,17.5,0.06,0.0,0.06,0.06,0.06,0.03,0.01,0.04,0.03,0.04,0.0,0.29,1.43,0.34,3.54
Christian Kühlwetter,GER,MF,Heidenheim,28.0,1996.0,1,0,8,0.1,0.0,11.25,11.25,0.0,11.25,0.0,6.85,6.85,0.0,6.85,0.0,0.0,0.0,10.0,0.0
Moritz-Broni Kwarteng,GHA,FW,Bochum,26.0,1998.0,11,2,281,3.1,0.0,0.32,0.32,0.0,0.32,0.33,0.17,0.51,0.33,0.51,0.32,0.32,7.74,2.58,1.94
Maxence Lacroix,FRA,DF,Wolfsburg,24.0,2000.0,25,24,2092,23.2,0.17,0.04,0.22,0.17,0.22,0.03,0.03,0.06,0.03,0.06,0.13,0.17,0.17,0.09,3.19
Aïssa Laïdouni,TUN,MF,Union Berlin,27.0,1996.0,22,10,1060,11.8,0.0,0.25,0.25,0.0,0.25,0.06,0.07,0.13,0.06,0.13,0.0,0.08,3.39,1.95,4.66
Konrad Laimer,AUT,DF,Bayern Munich,26.0,1997.0,27,17,1665,18.5,0.0,0.16,0.16,0.0,0.16,0.05,0.21,0.26,0.05,0.26,0.0,0.16,5.19,3.3,6.81
Stefan Lainer,AUT,DF,M'Gladbach,31.0,1992.0,13,7,641,7.1,0.0,0.14,0.14,0.0,0.14,0.03,0.08,0.1,0.03,0.1,0.0,0.28,4.23,1.83,4.65
Hugo Larsson,SWE,MF,Eint Frankfurt,19.0,2004.0,26,21,1837,20.4,0.1,0.05,0.15,0.1,0.15,0.06,0.07,0.13,0.06,0.13,0.0,0.05,2.01,1.27,3.19
Diogo Leite,POR,DF,Union Berlin,25.0,1999.0,29,28,2461,27.3,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,0.0,0.22,0.15,0.48,4.14
Maxim Leitsch,GER,DF,Mainz 05,25.0,1998.0,7,4,379,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,1.67
Christopher Lenz,GER,DF,RB Leipzig,29.0,1994.0,4,0,36,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.0,0.29,0.0,0.0,12.5,0.0,5.0
Christopher Lenz,GER,DF,Eint Frankfurt,29.0,1994.0,1,0,10,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Jamie Leweling,GER,FW,Stuttgart,23.0,2001.0,31,14,1319,14.7,0.27,0.27,0.55,0.27,0.55,0.39,0.22,0.61,0.39,0.61,0.0,0.2,9.8,4.08,1.9
Philipp Lienhart,AUT,DF,Freiburg,27.0,1996.0,15,14,1265,14.1,0.07,0.0,0.07,0.07,0.07,0.08,0.08,0.16,0.08,0.16,0.0,0.21,0.21,0.99,3.76
Matthijs de Ligt,NED,DF,Bayern Munich,24.0,1999.0,20,15,1284,14.3,0.14,0.0,0.14,0.14,0.14,0.12,0.01,0.13,0.12,0.13,0.0,0.35,0.42,1.05,6.78
Jesper Lindstrøm,DEN,FW,Eint Frankfurt,24.0,2000.0,1,1,83,0.9,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,10.0,2.22,1.11
Dejan Ljubicic,AUT,MF,Köln,26.0,1997.0,25,23,1958,21.8,0.0,0.09,0.09,0.0,0.09,0.08,0.13,0.21,0.08,0.21,0.0,0.28,3.07,1.79,3.49
Noah Loosli,SUI,DF,Bochum,27.0,1997.0,10,2,346,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.79,0.26,1.58
Anthony Losilla,FRA,MF,Bochum,38.0,1986.0,29,29,2440,27.1,0.04,0.07,0.11,0.04,0.11,0.08,0.05,0.14,0.08,0.14,0.0,0.37,1.4,0.41,3.54
Castello Lukeba,FRA,DF,RB Leipzig,21.0,2002.0,29,21,1921,21.3,0.05,0.0,0.05,0.05,0.05,0.03,0.01,0.04,0.03,0.04,0.0,0.14,0.38,0.89,4.46
Andreas Luthe,GER,GK,Bochum,37.0,1987.0,1,1,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senne Lynen,BEL,MF,Werder Bremen,25.0,1999.0,29,17,1572,17.5,0.0,0.17,0.17,0.0,0.17,0.02,0.1,0.12,0.02,0.12,0.0,0.29,1.31,0.46,3.14
Ian Maatsen,NED,DF,Dortmund,22.0,2002.0,14,14,1129,12.5,0.08,0.16,0.24,0.08,0.24,0.07,0.11,0.18,0.07,0.18,0.0,0.4,3.52,3.04,5.76
Matej Maglica,CRO,DF,Darmstadt 98,25.0,1998.0,23,18,1485,16.5,0.06,0.0,0.06,0.06,0.06,0.03,0.04,0.07,0.03,0.07,0.12,0.36,0.24,0.67,3.64
Arne Maier,GER,MF,Augsburg,25.0,1999.0,19,8,783,8.7,0.23,0.23,0.46,0.23,0.46,0.14,0.17,0.31,0.14,0.31,0.0,0.0,6.09,1.49,5.86
Linton Maina,GER,FW,Köln,24.0,1999.0,28,19,1673,18.6,0.05,0.11,0.16,0.05,0.16,0.09,0.12,0.21,0.09,0.21,0.0,0.16,7.63,4.84,2.85
Patrick Mainka,GER,DF,Heidenheim,29.0,1994.0,31,31,2790,31.0,0.06,0.0,0.06,0.06,0.06,0.1,0.0,0.1,0.1,0.1,0.0,0.03,0.16,0.9,3.65
Lovro Majer,CRO,MF,Wolfsburg,26.0,1998.0,29,22,1837,20.4,0.24,0.2,0.44,0.15,0.34,0.25,0.14,0.39,0.18,0.31,0.0,0.15,6.27,2.5,5.1
Jordy Makengo,FRA,DF,Freiburg,22.0,2001.0,17,9,889,9.9,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,0.0,0.0,3.33,2.53,4.34
Julián Malatini,ARG,DF,Werder Bremen,22.0,2001.0,11,6,602,6.7,0.15,0.0,0.15,0.15,0.15,0.15,0.04,0.18,0.15,0.18,0.0,0.15,1.04,1.34,4.03
Donyell Malen,NED,FW,Dortmund,25.0,1999.0,24,19,1644,18.3,0.6,0.05,0.66,0.6,0.66,0.4,0.16,0.56,0.4,0.56,0.0,0.27,7.92,3.61,2.84
Lennard Maloney,USA,MF,Heidenheim,24.0,1999.0,27,26,2169,24.1,0.04,0.04,0.08,0.04,0.08,0.03,0.04,0.07,0.03,0.07,0.0,0.04,0.71,0.12,2.49
David Mamutovic,GER,FW,Mainz 05,23.0,2000.0,2,0,11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braydon Manu,GHA,MF,Darmstadt 98,27.0,1997.0,4,3,171,1.9,0.0,0.0,0.0,0.0,0.0,0.19,0.04,0.23,0.19,0.23,0.0,0.53,4.74,2.63,0.53
Omar Marmoush,EGY,FW,Eint Frankfurt,25.0,1999.0,26,24,2031,22.6,0.49,0.27,0.75,0.44,0.71,0.43,0.18,0.61,0.39,0.58,0.0,0.31,6.46,3.27,2.39
Eric Martel,GER,MF,Köln,22.0,2002.0,27,26,2232,24.8,0.04,0.04,0.08,0.04,0.08,0.08,0.04,0.12,0.08,0.12,0.0,0.2,1.17,0.73,2.58
Erhan Mašović,SRB,DF,Bochum,25.0,1998.0,27,24,2162,24.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.06,0.04,0.06,0.0,0.29,0.42,0.62,1.92
Roberto Massimo,GER,FW,Stuttgart,23.0,2000.0,5,0,84,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,0.0,1.11,6.67,3.33,3.33
Jean Mattéo Bahoya,FRA,MF,Eint Frankfurt,18.0,2005.0,7,1,166,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,10.56,3.33,1.67
Philipp Max,GER,DF,Eint Frankfurt,30.0,1993.0,23,17,1350,15.0,0.07,0.13,0.2,0.07,0.2,0.02,0.18,0.2,0.02,0.2,0.0,0.13,3.73,1.67,4.2
Eric Maxim Choupo-Moting,CMR,MF,Bayern Munich,35.0,1989.0,26,6,627,7.0,0.29,0.29,0.57,0.29,0.57,0.61,0.26,0.86,0.61,0.86,0.0,0.14,9.71,3.0,2.71
Noussair Mazraoui,MAR,DF,Bayern Munich,26.0,1997.0,18,15,1170,13.0,0.0,0.23,0.23,0.0,0.23,0.07,0.14,0.2,0.07,0.2,0.0,0.23,6.08,2.62,7.92
Kevin Mbabu,SUI,DF,Augsburg,29.0,1995.0,23,20,1867,20.7,0.0,0.1,0.1,0.0,0.1,0.0,0.07,0.08,0.0,0.08,0.0,0.19,4.59,3.19,3.82
Noah Mbamba,BEL,MF,Leverkusen,19.0,2005.0,3,0,16,0.2,0.0,5.63,5.63,0.0,5.63,0.14,3.16,3.3,0.14,3.3,0.0,0.0,5.0,5.0,10.0
Nathanael Mbuku,FRA,FW,Augsburg,22.0,2002.0,1,0,5,0.1,0.0,0.0,0.0,0.0,0.0,0.56,0.69,1.25,0.56,1.25,0.0,0.0,40.0,10.0,10.0
Marvin Mehlem,GER,MF,Darmstadt 98,26.0,1997.0,17,16,1237,13.7,0.22,0.15,0.36,0.22,0.36,0.28,0.08,0.35,0.28,0.35,0.0,0.22,4.74,1.68,3.14
Thomas Meunier,BEL,DF,Dortmund,32.0,1991.0,8,7,586,6.5,0.0,0.0,0.0,0.0,0.0,0.08,0.1,0.18,0.08,0.18,0.0,0.0,3.85,3.23,5.08
Alexander Meyer,GER,GK,Dortmund,33.0,1991.0,7,6,605,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
Sven Michel,GER,FW,Augsburg,33.0,1990.0,20,5,550,6.1,0.33,0.16,0.49,0.16,0.33,0.38,0.1,0.48,0.13,0.23,0.0,0.33,6.72,0.98,1.97
Enzo Millot,FRA,MF,Stuttgart,21.0,2002.0,29,25,2068,23.0,0.22,0.09,0.3,0.17,0.26,0.22,0.14,0.36,0.19,0.33,0.0,0.22,6.96,1.74,4.83
Jovan Milošević,SRB,FW,Stuttgart,18.0,2005.0,5,0,28,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.33,3.33
Kim Min-jae,KOR,DF,Bayern Munich,27.0,1996.0,23,20,1806,20.1,0.05,0.05,0.1,0.05,0.1,0.03,0.02,0.05,0.03,0.05,0.0,0.15,0.1,0.7,6.22
Maximilian Mittelstädt,GER,DF,Stuttgart,27.0,1997.0,29,21,1923,21.4,0.09,0.19,0.28,0.09,0.28,0.04,0.17,0.21,0.04,0.21,0.0,0.23,5.42,3.08,5.28
Marko Mladenović,SRB,MF,Eint Frankfurt,19.0,2005.0,1,0,6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
Mateu Morey,ESP,DF,Dortmund,24.0,2000.0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Youssoufa Moukoko,GER,FW,Dortmund,19.0,2004.0,18,2,445,4.9,0.61,0.0,0.61,0.61,0.61,0.45,0.05,0.49,0.45,0.49,0.0,0.2,4.49,3.06,2.45
Andreas Müller,GER,MF,Darmstadt 98,23.0,2000.0,9,1,286,3.2,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,0.0,0.62,1.88,0.62,3.44
Jannik Müller,GER,DF,Darmstadt 98,30.0,1994.0,14,11,987,11.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,0.0,0.36,0.64,0.45,2.45
Kevin Müller,GER,GK,Heidenheim,33.0,1991.0,31,31,2790,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
Marcus Müller,GER,MF,Mainz 05,21.0,2002.0,1,0,18,0.2,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26,0.0,0.0,0.0,0.0,5.0
Thomas Müller,GER,MF,Bayern Munich,34.0,1989.0,29,18,1474,16.4,0.31,0.43,0.73,0.31,0.73,0.33,0.48,0.81,0.33,0.81,0.0,0.0,10.79,2.01,4.51
Jamal Musiala,GER,MF,Bayern Munich,21.0,2003.0,24,20,1755,19.5,0.51,0.26,0.77,0.51,0.77,0.4,0.31,0.71,0.4,0.71,0.0,0.1,8.36,5.28,5.13
Florent Muslija,KVX,MF,Freiburg,25.0,1998.0,8,0,95,1.1,0.0,0.0,0.0,0.0,0.0,0.01,0.53,0.55,0.01,0.55,0.0,0.0,5.45,4.55,11.82
Phillipp Mwene,AUT,DF,Mainz 05,30.0,1994.0,22,22,1906,21.2,0.05,0.09,0.14,0.05,0.14,0.06,0.09,0.15,0.06,0.15,0.05,0.19,4.15,2.31,3.3
Joakim Mæhle,DEN,DF,Wolfsburg,26.0,1997.0,28,25,2272,25.2,0.08,0.12,0.2,0.08,0.2,0.05,0.1,0.16,0.05,0.16,0.0,0.2,5.08,3.21,4.4
Nathan N'Goumou,FRA,FW,M'Gladbach,24.0,2000.0,30,13,1300,14.4,0.35,0.14,0.48,0.35,0.48,0.24,0.11,0.34,0.24,0.34,0.0,0.07,9.93,3.4,3.06
Stanley N'Soki,FRA,DF,Hoffenheim,25.0,1999.0,11,7,631,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.14,0.43,2.0,1.0,5.29
Luca Netz,GER,DF,M'Gladbach,20.0,2003.0,28,24,2114,23.5,0.0,0.17,0.17,0.0,0.17,0.04,0.12,0.16,0.04,0.16,0.0,0.09,4.17,1.87,3.28
Manuel Neuer,GER,GK,Bayern Munich,38.0,1986.0,20,20,1800,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.4
Florian Neuhaus,GER,MF,M'Gladbach,27.0,1997.0,23,15,1202,13.4,0.22,0.15,0.37,0.22,0.37,0.26,0.14,0.4,0.26,0.4,0.0,0.3,3.13,2.16,5.3
Jessic Ngankam,GER,FW,Mainz 05,23.0,2000.0,6,2,181,2.0,0.0,0.0,0.0,0.0,0.0,0.3,0.14,0.44,0.3,0.44,0.5,0.0,5.5,1.5,0.5
Jessic Ngankam,GER,FW,Eint Frankfurt,23.0,2000.0,15,2,280,3.1,0.0,0.0,0.0,0.0,0.0,0.48,0.01,0.49,0.23,0.24,0.0,0.65,5.48,0.65,0.32
Moritz Nicolas,GER,GK,M'Gladbach,26.0,1997.0,26,26,2340,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0
Justin Njinmah,GER,FW,Werder Bremen,23.0,2000.0,24,10,1016,11.3,0.53,0.18,0.71,0.53,0.71,0.44,0.21,0.65,0.44,0.65,0.0,0.09,8.41,3.19,1.15
Niels Nkounkou,FRA,DF,Eint Frankfurt,23.0,2000.0,26,12,1224,13.6,0.22,0.15,0.37,0.22,0.37,0.09,0.15,0.25,0.09,0.25,0.07,0.37,4.56,3.82,4.04
Felix Nmecha,GER,MF,Dortmund,23.0,2000.0,17,8,872,9.7,0.0,0.21,0.21,0.0,0.21,0.15,0.08,0.23,0.15,0.23,0.0,0.31,2.27,1.55,3.81
Lukas Nmecha,GER,FW,Wolfsburg,25.0,1998.0,3,0,42,0.5,2.14,0.0,2.14,2.14,2.14,0.31,0.05,0.35,0.31,0.35,0.0,0.0,10.0,0.0,2.0
Alexander Nübel,GER,GK,Stuttgart,27.0,1996.0,27,27,2430,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.04
Kasim Nuhu,GHA,DF,Hoffenheim,28.0,1995.0,1,0,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fabian Nürnberger,GER,DF,Darmstadt 98,24.0,1999.0,19,15,1368,15.2,0.07,0.07,0.13,0.07,0.13,0.05,0.12,0.17,0.05,0.17,0.0,0.13,5.53,1.84,4.08
Tim Oermann,GER,DF,Bochum,20.0,2003.0,13,7,544,6.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,0.0,0.33,1.0,1.0,3.33
Masaya Okugawa,JPN,FW,Augsburg,28.0,1996.0,2,0,32,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.5
Finn Ole Becker,GER,MF,Hoffenheim,23.0,2000.0,21,5,587,6.5,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08,0.0,0.15,3.54,2.31,5.08
Mathias Olesen,LUX,MF,Köln,23.0,2001.0,6,0,112,1.2,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,0.83,1.67,1.67,1.67,5.83
Dani Olmo,ESP,MF,RB Leipzig,25.0,1998.0,20,16,1373,15.3,0.26,0.33,0.59,0.26,0.59,0.22,0.33,0.55,0.22,0.55,0.0,0.0,6.99,3.53,4.12
Jonas Omlin,SUI,GK,M'Gladbach,30.0,1994.0,5,5,450,5.0,0.0,0.2,0.2,0.0,0.2,0.0,0.07,0.07,0.0,0.07,0.0,0.2,0.0,0.0,0.0
Karim Onisiwo,AUT,FW,Mainz 05,32.0,1992.0,24,17,1493,16.6,0.06,0.18,0.24,0.06,0.24,0.14,0.08,0.22,0.14,0.22,0.0,0.06,6.69,1.57,1.63
Loïs Openda,BEL,FW,RB Leipzig,24.0,2000.0,31,30,2441,27.1,0.88,0.26,1.14,0.81,1.07,0.8,0.21,1.01,0.71,0.92,0.0,0.15,7.34,2.66,1.59
Leon Opitz,GER,FW,Werder Bremen,19.0,2005.0,3,0,18,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0
Willi Orban,HUN,DF,RB Leipzig,31.0,1992.0,16,15,1312,14.6,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.04,0.02,0.04,0.0,0.14,0.55,0.48,5.62
Ivan Ordets,UKR,DF,Bochum,31.0,1992.0,21,18,1610,17.9,0.06,0.0,0.06,0.06,0.06,0.06,0.03,0.09,0.06,0.09,0.0,0.17,0.39,0.28,2.12
Patrick Osterhage,GER,MF,Bochum,24.0,2000.0,21,18,1636,18.2,0.11,0.0,0.11,0.11,0.11,0.08,0.03,0.1,0.08,0.1,0.0,0.27,3.46,1.37,3.02
Salih Özcan,TUR,MF,Dortmund,26.0,1998.0,21,12,1111,12.3,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.09,0.01,0.09,0.0,0.24,1.95,1.22,4.39
Willian Pacho,ECU,DF,Eint Frankfurt,22.0,2001.0,30,30,2700,30.0,0.0,0.1,0.1,0.0,0.1,0.04,0.04,0.08,0.04,0.08,0.0,0.23,0.13,0.73,4.43
Gonçalo Paciência,POR,FW,Bochum,29.0,1994.0,18,6,636,7.1,0.42,0.14,0.57,0.42,0.57,0.38,0.19,0.56,0.38,0.56,0.0,0.42,6.48,1.27,2.96
Exequiel Palacios,ARG,MF,Leverkusen,25.0,1998.0,22,19,1672,18.6,0.16,0.22,0.38,0.11,0.32,0.12,0.2,0.32,0.08,0.28,0.0,0.32,2.31,1.24,8.44
Miloš Pantović,SRB,MF,Union Berlin,27.0,1996.0,1,0,15,0.2,6.0,0.0,6.0,6.0,6.0,4.55,0.0,4.55,4.55,4.55,0.0,0.0,5.0,5.0,0.0
Antonios Papadopoulos,GER,DF,Dortmund,24.0,1999.0,1,0,27,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33
