Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Thomas Cannon,IRL,FW,Everton,21.0,2002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diego Carlos,BRA,DF,Aston Villa,31.0,1993.0,17.2,1.45,0.81,1.16,0.23,0.06,0.76,1.16,65.0,0.41,1.1,0.81,0.29,0.76,2.21,3.84,0.17
Cesare Casadei,ITA,FW,Chelsea,21.0,2003.0,0.7,2.86,1.43,1.43,1.43,0.0,0.0,0.0,,0.0,1.43,0.0,1.43,0.0,2.86,4.29,0.0
Casemiro,BRA,MF,Manchester Utd,32.0,1992.0,18.0,3.56,2.28,1.67,1.5,0.39,2.0,4.5,44.4,2.5,3.61,1.44,2.17,0.83,4.39,3.06,0.0
Matty Cash,POL,DF,Aston Villa,26.0,1997.0,23.1,2.21,1.26,0.95,1.04,0.22,1.17,2.38,49.1,1.21,1.52,0.61,0.91,0.78,2.99,2.42,0.0
Timothy Castagne,BEL,DF,Fulham,28.0,1995.0,27.3,1.65,0.81,0.77,0.55,0.33,0.88,1.5,58.5,0.62,1.28,0.33,0.95,1.39,3.04,2.23,0.04
Jonny Castro,ESP,MF,Wolves,30.0,1994.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0
Trevoh Chalobah,ENG,DF,Chelsea,24.0,1999.0,6.7,1.34,0.9,0.6,0.15,0.6,0.6,0.6,100.0,0.0,0.6,0.6,0.0,0.75,2.09,4.03,0.0
Calum Chambers,ENG,DF,Aston Villa,29.0,1995.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.5,1.25,1.25,0.0,0.0,5.0,0.0
Youssef Chermiti,POR,FW,Everton,19.0,2004.0,1.9,0.53,0.53,0.53,0.0,0.0,0.0,1.58,0.0,1.58,1.58,0.53,1.05,0.53,1.05,0.53,0.0
Ben Chilwell,ENG,DF,Chelsea,27.0,1996.0,8.4,1.79,1.19,0.6,1.07,0.12,0.6,0.95,62.5,0.36,1.31,0.36,0.95,0.48,2.26,2.26,0.12
Tawanda Chirewa,ENG,MF,Wolves,20.0,2003.0,1.6,3.75,1.25,1.88,1.25,0.63,0.63,1.25,50.0,0.63,0.0,0.0,0.0,0.63,4.38,0.0,0.0
Leon Chiwome,ENG,FW,Wolves,18.0,2006.0,1.9,1.05,0.53,0.0,0.53,0.53,0.53,1.05,50.0,0.53,1.58,0.53,1.05,0.0,1.05,1.05,0.0
Tahith Chong,NED,MF,Luton Town,24.0,1999.0,19.1,1.62,0.94,0.89,0.58,0.16,0.58,1.41,40.7,0.84,1.31,0.26,1.05,0.31,1.94,0.42,0.05
Ryan Christie,SCO,MF,Bournemouth,29.0,1995.0,29.4,2.59,1.26,1.05,1.02,0.51,1.19,2.69,44.3,1.5,1.56,0.31,1.26,1.67,4.25,1.53,0.0
Carney Chukwuemeka,ENG,MF,Chelsea,20.0,2003.0,2.5,2.4,1.6,1.2,1.2,0.0,0.4,1.2,33.3,0.8,0.4,0.4,0.0,0.0,2.4,0.4,0.0
Bobby Clark,ENG,MF,Liverpool,19.0,2005.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,5.0,20.0,4.0,6.0,2.0,4.0,1.0,3.0,1.0,0.0
Jordan Clark,ENG,MF,Luton Town,30.0,1993.0,13.1,2.06,1.15,0.84,0.84,0.38,0.76,2.67,28.6,1.91,1.83,0.23,1.6,0.76,2.82,0.76,0.08
Nathaniel Clyne,ENG,DF,Crystal Palace,33.0,1991.0,12.0,1.92,1.25,0.92,0.83,0.17,1.17,1.67,70.0,0.5,1.25,0.42,0.83,0.75,2.67,2.33,0.0
Séamus Coleman,IRL,DF,Everton,35.0,1988.0,5.1,2.75,2.35,1.57,0.59,0.59,1.76,2.75,64.3,0.98,1.57,0.78,0.78,0.98,3.73,2.75,0.2
Nathan Collins,IRL,DF,Brentford,23.0,2001.0,27.5,1.31,0.73,0.8,0.44,0.07,0.69,1.05,65.5,0.36,1.53,0.98,0.55,1.45,2.76,4.95,0.15
Levi Colwill,ENG,DF,Chelsea,21.0,2003.0,20.0,2.4,1.5,1.3,0.85,0.25,1.3,1.7,76.5,0.4,1.4,0.5,0.9,1.3,3.7,3.3,0.0
Lewis Cook,ENG,MF,Bournemouth,27.0,1997.0,28.0,2.0,1.36,0.86,1.0,0.14,1.11,1.96,56.4,0.86,0.96,0.32,0.64,2.11,4.11,1.5,0.04
Jack Cork,ENG,MF,Burnley,34.0,1989.0,0.2,10.0,0.0,0.0,10.0,0.0,5.0,15.0,33.3,10.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0
Maxwel Cornet,CIV,MF,West Ham,27.0,1996.0,1.2,2.5,1.67,2.5,0.0,0.0,0.83,4.17,20.0,3.33,1.67,0.0,1.67,1.67,4.17,0.83,0.0
Vladimír Coufal,CZE,DF,West Ham,31.0,1992.0,31.8,1.82,1.19,1.42,0.35,0.06,1.07,2.04,52.3,0.97,1.32,0.35,0.97,1.23,3.05,2.89,0.0
Philippe Coutinho,BRA,MF,Aston Villa,31.0,1992.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Cresswell,ENG,DF,West Ham,34.0,1989.0,3.6,0.56,0.28,0.28,0.0,0.28,0.28,0.56,50.0,0.28,1.11,0.56,0.56,0.83,1.39,1.67,0.0
Marc Cucurella,ESP,DF,Chelsea,25.0,1998.0,15.8,2.78,1.77,1.46,1.08,0.25,1.52,2.91,52.2,1.39,1.84,0.76,1.08,0.95,3.73,2.22,0.0
Josh Cullen,IRL,MF,Burnley,28.0,1996.0,20.0,1.7,1.15,0.6,0.95,0.15,1.05,2.0,52.5,0.95,1.4,0.85,0.55,0.6,2.3,1.2,0.0
Matheus Cunha,BRA,FW,Wolves,24.0,1999.0,24.4,1.19,0.61,0.33,0.7,0.16,0.53,1.43,37.1,0.9,1.02,0.29,0.74,0.53,1.72,0.82,0.04
Mahmoud Dahoud,GER,MF,Brighton,28.0,1996.0,5.0,1.8,0.8,0.4,0.8,0.6,0.6,1.8,33.3,1.2,0.8,0.2,0.6,0.2,2.0,1.0,0.0
Ameen Al-Dakhil,BEL,DF,Burnley,22.0,2002.0,11.7,1.03,0.43,0.34,0.6,0.09,0.09,0.85,10.0,0.77,1.11,0.51,0.6,1.03,2.05,3.25,0.17
Diogo Dalot,POR,DF,Manchester Utd,25.0,1999.0,31.3,2.3,1.41,1.63,0.35,0.32,1.41,2.04,68.8,0.64,1.34,0.48,0.86,1.12,3.42,3.0,0.0
Mikkel Damsgaard,DEN,MF,Brentford,23.0,2000.0,7.3,3.7,2.19,1.78,1.1,0.82,1.78,4.93,36.1,3.15,2.74,0.14,2.6,1.37,5.07,0.96,0.14
Danilo,BRA,MF,Nott'ham Forest,23.0,2001.0,17.0,1.53,0.82,0.88,0.59,0.06,0.88,2.0,44.1,1.12,1.76,0.47,1.29,1.76,3.29,1.94,0.0
Arnaut Danjuma,NED,MF,Everton,27.0,1997.0,6.6,0.91,0.61,0.3,0.45,0.15,0.15,0.61,25.0,0.45,0.61,0.0,0.61,0.45,1.36,0.0,0.0
Jayden Danns,ENG,FW,Liverpool,18.0,2006.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Dasilva,ENG,DF,Brentford,25.0,1998.0,0.3,6.67,3.33,0.0,3.33,3.33,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0
David Datro Fofana,CIV,FW,Burnley,21.0,2002.0,9.7,1.03,0.52,0.31,0.52,0.21,0.31,0.62,50.0,0.31,0.82,0.31,0.52,0.1,1.13,0.21,0.0
Ben Davies,WAL,DF,Tottenham,31.0,1993.0,12.1,1.98,1.4,1.07,0.66,0.25,1.32,1.74,76.2,0.41,1.4,1.24,0.17,0.83,2.81,2.89,0.0
Tom Davies,ENG,MF,Sheffield Utd,25.0,1998.0,2.5,4.0,2.0,1.6,1.2,1.2,1.2,3.6,33.3,2.4,0.8,0.4,0.4,1.2,5.2,2.4,0.4
Craig Dawson,ENG,DF,Wolves,33.0,1990.0,24.5,1.22,0.82,0.94,0.24,0.04,0.9,1.39,64.7,0.49,2.08,1.59,0.49,0.65,1.88,4.9,0.04
Kevin De Bruyne,BEL,MF,Manchester City,32.0,1991.0,10.1,0.89,0.69,0.1,0.5,0.3,0.5,1.39,35.7,0.89,0.5,0.0,0.5,0.2,1.09,0.4,0.0
