Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Davide Biraschi,ITA,DF,Genoa,29,1994,1,1,90,1.0,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,0,5,4,1.00,0.00,1.00,1.00,1.00,0.10,0.00,0.10,0.10,0.10
Samuele Birindelli,ITA,DF,Monza,24,1999,31,18,1738,19.3,0,2,2,0,0,0,7,0,1.0,1.0,2.9,3.8,55,54,104,0.00,0.10,0.10,0.00,0.10,0.05,0.15,0.20,0.05,0.20
Alexis Blin,FRA,MF,Lecce,27,1996,27,13,1384,15.4,0,2,2,0,0,0,3,0,0.9,0.9,0.6,1.5,5,46,8,0.00,0.13,0.13,0.00,0.13,0.06,0.04,0.10,0.06,0.10
Jérôme Boateng,GER,DF,Salernitana,35,1988,7,4,238,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,9,1,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05
Emil Bohinen,NOR,MF,Genoa,25,1999,4,0,50,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05
Emil Bohinen,NOR,MF,Salernitana,25,1999,12,7,535,5.9,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,7,26,10,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05
Daniel Boloca,ROU,MF,Sassuolo,25,1998,28,23,1956,21.7,1,0,1,1,0,0,5,1,0.5,0.5,0.4,0.9,23,108,15,0.05,0.00,0.05,0.05,0.05,0.02,0.02,0.04,0.02,0.04
Giacomo Bonaventura,ITA,MF,Fiorentina,34,1989,28,25,2086,23.2,7,3,10,7,0,1,5,0,5.5,4.3,3.4,7.7,59,128,104,0.30,0.13,0.43,0.30,0.43,0.24,0.15,0.38,0.18,0.33
Federico Bonazzoli,ITA,FW,Hellas Verona,26,1997,22,8,910,10.1,3,1,4,3,0,0,2,0,2.2,2.2,1.1,3.4,13,24,70,0.30,0.10,0.40,0.30,0.40,0.22,0.11,0.33,0.22,0.33
Warren Bondo,FRA,MF,Monza,20,2003,21,11,1210,13.4,1,1,2,1,0,0,7,0,0.8,0.8,0.1,0.9,27,35,10,0.07,0.07,0.15,0.07,0.15,0.06,0.01,0.07,0.06,0.07
Giovanni Bonfanti,ITA,DF,Atalanta,21,2003,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kevin Bonifazi,ITA,DF,Bologna,27,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kevin Bonifazi,ITA,DF,Frosinone,27,1996,4,2,201,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gennaro Borrelli,ITA,FW,Frosinone,24,2000,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Erik Botheim,NOR,FW,Salernitana,24,2000,7,4,316,3.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,5,9,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Mehdi Bourabia,MAR,MF,Frosinone,32,1991,10,3,200,2.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,7,8,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Edoardo Bove,ITA,MF,Roma,21,2002,27,16,1542,17.1,0,2,2,0,0,0,2,0,1.9,1.9,0.6,2.5,15,69,41,0.00,0.12,0.12,0.00,0.12,0.11,0.04,0.15,0.11,0.15
Domagoj Bradarić,CRO,DF,Salernitana,24,1999,33,29,2673,29.7,0,3,3,0,0,0,5,0,0.8,0.8,1.8,2.5,56,75,118,0.00,0.10,0.10,0.00,0.10,0.03,0.06,0.09,0.03,0.09
Josip Brekalo,CRO,FW,Fiorentina,25,1998,11,8,652,7.2,1,0,1,1,0,0,0,0,0.4,0.4,0.3,0.7,14,25,69,0.14,0.00,0.14,0.14,0.14,0.06,0.04,0.10,0.06,0.10
Gleison Bremer,BRA,DF,Juventus,27,1997,33,33,2963,32.9,2,0,2,2,0,0,8,0,1.3,1.3,0.4,1.8,7,108,4,0.06,0.00,0.06,0.06,0.06,0.04,0.01,0.05,0.04,0.05
Brenner,BRA,FW,Udinese,24,2000,5,0,44,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,5,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.27,0.27,0.27
Marco Brescianini,ITA,MF,Frosinone,24,2000,32,20,1970,21.9,4,2,6,4,0,0,1,0,2.0,2.0,0.9,2.9,40,60,83,0.18,0.09,0.27,0.18,0.27,0.09,0.04,0.13,0.09,0.13
Dylan Bronn,TUN,DF,Salernitana,28,1995,4,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Tajon Buchanan,CAN,DF,Inter,25,1999,6,0,71,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,6,1,10,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19
Alessandro Buongiorno,ITA,DF,Torino,24,1999,26,26,2268,25.2,3,0,3,3,0,0,7,0,1.6,1.6,0.1,1.7,12,54,8,0.12,0.00,0.12,0.12,0.12,0.06,0.00,0.07,0.06,0.07
Rareș-Cătălin Burnete,ROU,FW,Lecce,20,2004,1,0,8,0.1,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,2,0.00,11.25,11.25,0.00,11.25,0.00,0.71,0.71,0.00,0.71
Jovane Cabral,CPV,MF,Salernitana,25,1998,12,8,678,7.5,1,0,1,1,0,0,1,0,1.2,1.2,0.4,1.6,22,40,39,0.13,0.00,0.13,0.13,0.13,0.15,0.06,0.21,0.15,0.21
Liberato Cacace,NZL,DF,Empoli,23,2000,28,17,1791,19.9,0,1,1,0,0,0,6,0,0.4,0.4,1.4,1.7,28,77,52,0.00,0.05,0.05,0.00,0.05,0.02,0.07,0.09,0.02,0.09
Jens Cajuste,SWE,MF,Napoli,24,1999,22,7,719,8.0,0,2,2,0,0,0,5,0,1.0,1.0,0.9,1.9,15,25,36,0.00,0.25,0.25,0.00,0.25,0.12,0.12,0.24,0.12,0.24
Davide Calabria,ITA,DF,Milan,27,1996,28,25,2095,23.3,0,3,3,0,0,0,5,2,1.1,1.1,1.0,2.1,29,128,62,0.00,0.13,0.13,0.00,0.13,0.05,0.04,0.09,0.05,0.09
