Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Aiham Ousou,SYR,DF,Cádiz,24,2000,6,5,430,4.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,7,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Jesús Owono,EQG,GK,Alavés,23,2001,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mikel Oyarzabal,ESP,FW,Real Sociedad,27,1997,30,22,2027,22.5,9,2,11,7,2,2,3,0,8.9,7.3,1.6,8.9,27,38,118,0.40,0.09,0.49,0.31,0.40,0.39,0.07,0.47,0.32,0.40
Cenk Özkacar,TUR,DF,Valencia,23,2000,21,16,1448,16.1,0,0,0,0,0,0,3,0,0.3,0.3,0.1,0.3,17,54,5,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Jon Pacheco,ESP,DF,Real Sociedad,23,2001,20,13,1256,14.0,1,1,2,1,0,0,7,0,1.1,1.1,0.2,1.3,8,46,1,0.07,0.07,0.14,0.07,0.14,0.08,0.02,0.09,0.08,0.09
Isaac Palazón Camacho,ESP,MF,Rayo Vallecano,29,1994,34,32,2603,28.9,4,1,5,2,2,2,8,0,5.2,3.6,1.6,5.2,36,120,147,0.14,0.03,0.17,0.07,0.10,0.18,0.06,0.24,0.12,0.18
Joaquín Panichelli,ARG,MF,Alavés,21,2002,6,1,130,1.4,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,3,2,6,0.00,0.00,0.00,0.00,0.00,0.21,0.01,0.22,0.21,0.22
Sokratis Papastathopoulos,GRE,DF,Betis,35,1988,12,9,866,9.6,0,0,0,0,0,0,5,0,0.2,0.2,0.0,0.2,1,10,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.02,0.03
Victor Parada,ESP,FW,Alavés,22,2002,2,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aitor Paredes,ESP,DF,Athletic Club,24,2000,32,29,2524,28.0,1,0,1,1,0,0,9,1,1.2,1.2,0.2,1.4,6,103,1,0.04,0.00,0.04,0.04,0.04,0.04,0.01,0.05,0.04,0.05
