Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Matt Doherty,IRL,DF,Wolves,32,1992,28,8,1043,11.6,1,0,1,1,0,0,2,0,0.7,0.7,1.3,2.1,12,27,62,0.09,0.00,0.09,0.09,0.09,0.06,0.12,0.18,0.06,0.18
Jeremy Doku,BEL,FW,Manchester City,21,2002,25,17,1456,16.2,3,7,10,3,0,0,3,0,2.3,2.3,4.1,6.3,193,56,273,0.19,0.43,0.62,0.19,0.62,0.14,0.25,0.39,0.14,0.39
Nicolás Domínguez,ARG,MF,Nott'ham Forest,25,1998,24,19,1489,16.5,2,2,4,2,0,0,3,0,1.3,1.3,1.0,2.3,13,90,41,0.12,0.12,0.24,0.12,0.24,0.08,0.06,0.14,0.08,0.14
Jamie Donley,ENG,FW,Tottenham,19,2005,3,0,3,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Abdoulaye Doucouré,MLI,FW,Everton,31,1993,29,29,2419,26.9,6,1,7,6,0,0,6,0,7.0,7.0,2.8,9.9,53,91,130,0.22,0.04,0.26,0.22,0.26,0.26,0.10,0.37,0.26,0.37
Cheick Doucouré,MLI,MF,Crystal Palace,24,2000,11,11,919,10.2,0,0,0,0,0,0,2,0,0.3,0.3,0.7,1.0,9,49,5,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.10,0.03,0.10
Alfie Doughty,ENG,DF,Luton Town,24,1999,34,31,2659,29.5,1,7,8,1,0,0,4,0,1.3,1.3,5.6,6.8,89,95,149,0.03,0.24,0.27,0.03,0.27,0.04,0.19,0.23,0.04,0.23
Tommy Doyle,ENG,MF,Wolves,22,2001,24,11,1203,13.4,0,0,0,0,0,0,2,0,0.4,0.4,0.4,0.8,20,78,17,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06
Radu Drăgușin,ROU,DF,Tottenham,22,2002,6,2,233,2.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,5,1,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Martin Dúbravka,SVK,GK,Newcastle Utd,35,1989,20,19,1715,19.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Paul Dummett,WAL,DF,Newcastle Utd,32,1991,4,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11
Lewis Dunk,ENG,DF,Brighton,32,1991,30,30,2644,29.4,3,1,4,3,0,0,6,1,3.0,3.0,0.9,3.9,33,151,13,0.10,0.03,0.14,0.10,0.14,0.10,0.03,0.13,0.10,0.13
Jhon Durán,COL,FW,Aston Villa,20,2003,20,2,355,3.9,3,0,3,3,0,0,5,0,1.6,1.6,0.2,1.7,9,8,20,0.76,0.00,0.76,0.76,0.76,0.40,0.04,0.44,0.40,0.44
George Earthy,ENG,FW,West Ham,19,2004,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ederson,BRA,GK,Manchester City,30,1993,30,30,2537,28.2,0,0,0,0,0,0,5,0,0.0,0.0,0.1,0.1,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Odsonne Édouard,FRA,FW,Crystal Palace,26,1998,27,17,1496,16.6,7,0,7,7,0,0,3,0,6.2,6.2,1.1,7.4,32,35,92,0.42,0.00,0.42,0.42,0.42,0.37,0.07,0.44,0.37,0.44
