Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Siriné Doucouré,MLI,FW,Lorient,22,2002,11,5,423,4.7,1,3,4,1,0,0,2,0,0.9,0.9,1.3,2.2,14,5,35,0.21,0.64,0.85,0.21,0.85,0.20,0.28,0.47,0.20,0.47
Désiré Doué,FRA,MF,Rennes,18,2005,28,14,1390,15.4,4,4,8,4,0,0,3,0,1.7,1.7,3.6,5.3,66,96,142,0.26,0.26,0.52,0.26,0.52,0.11,0.23,0.34,0.11,0.34
Guela Doué,CIV,DF,Rennes,21,2002,23,13,1211,13.5,0,2,2,0,0,0,1,1,0.5,0.5,1.1,1.6,40,52,84,0.00,0.15,0.15,0.00,0.15,0.04,0.08,0.12,0.04,0.12
Douglas,BRA,MF,Nantes,27,1997,24,22,1758,19.5,0,0,0,0,0,0,7,0,1.2,1.2,1.1,2.3,12,105,18,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.12,0.06,0.12
Ismaël Doukouré,FRA,MF,Strasbourg,20,2003,20,17,1476,16.4,0,0,0,0,0,0,4,0,0.2,0.2,0.2,0.4,15,71,7,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.01,0.03
Kamory Doumbia,MLI,MF,Brest,21,2003,23,6,772,8.6,6,4,10,6,0,0,0,0,4.0,4.0,0.8,4.8,20,43,33,0.70,0.47,1.17,0.70,1.17,0.46,0.10,0.56,0.46,0.56
Jean-Kevin Duverne,HAI,DF,Nantes,26,1997,17,14,1255,13.9,0,0,0,0,0,0,5,0,0.3,0.3,0.2,0.5,15,60,22,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Aron Dønnum,NOR,FW,Toulouse,26,1998,25,18,1512,16.8,0,1,1,0,0,0,8,0,0.9,0.9,2.1,3.0,64,64,113,0.00,0.06,0.06,0.00,0.06,0.06,0.12,0.18,0.06,0.18
Simon Ebonog,CMR,MF,Le Havre,19,2004,4,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Hugo Ekitike,FRA,FW,Paris S-G,21,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.30
Simon Elisor,FRA,FW,Metz,24,1999,14,9,767,8.5,1,0,1,1,0,1,1,0,2.3,1.5,0.9,2.4,9,14,43,0.12,0.00,0.12,0.12,0.12,0.27,0.11,0.38,0.18,0.29
Breel Embolo,SUI,FW,Monaco,27,1997,3,0,74,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,4,6,0.00,0.00,0.00,0.00,0.00,0.16,0.07,0.23,0.16,0.23
Emanuel Emegha,NED,FW,Strasbourg,21,2003,25,20,1809,20.1,7,1,8,7,0,0,3,0,8.8,8.8,0.3,9.1,24,9,92,0.35,0.05,0.40,0.35,0.40,0.44,0.02,0.45,0.44,0.45
Maxime Estève,FRA,DF,Montpellier,21,2002,12,12,995,11.1,1,1,2,1,0,0,2,0,0.2,0.2,0.3,0.5,8,23,10,0.09,0.09,0.18,0.09,0.18,0.02,0.02,0.04,0.02,0.04
Oscar Estupiñan,COL,FW,Metz,27,1996,6,4,260,2.9,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,5,2,8,0.00,0.00,0.00,0.00,0.00,0.18,0.01,0.18,0.18,0.18
Romain Faivre,FRA,MF,Lorient,25,1998,17,16,1453,16.1,5,1,6,5,0,0,1,0,2.8,2.8,1.7,4.5,68,102,78,0.31,0.06,0.37,0.31,0.37,0.17,0.10,0.28,0.17,0.28
