Player,Nation,Pos_x,Squad_x,Age,Born,MP,Starts,Min,90s,Gls/90,Ast/90,CrdR/90,CrdY/90,Pos_y,Squad_y,Tkl,TklW,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Performance_rating
Marcus Pedersen,NOR,DF,Sassuolo,23.0,2000.0,26,16,1581,17.6,0.0,0.11,0.0,0.23,DF,Sassuolo,1.93,1.25,1.08,1.31,82.6,0.23,1.08,0.28,0.8,0.57,2.5,2.73,0.0,11.02
Nehuén Pérez,ARG,DF,Udinese,23.0,2000.0,33,33,2968,33.0,0.0,0.0,0.03,0.21,DF,Udinese,1.97,1.33,1.06,1.27,83.3,0.21,1.48,0.73,0.76,1.24,3.21,4.45,0.03,16.25
Lorenzo Pirola,ITA,DF,Salernitana,22.0,2002.0,24,21,1762,19.6,0.05,0.0,0.0,0.2,DF,Salernitana,1.58,0.92,0.66,1.28,52.0,0.61,2.04,1.33,0.71,0.97,2.55,4.08,0.05,13.83
Marin Pongračić,CRO,DF,Lecce,26.0,1997.0,32,32,2859,31.8,0.0,0.0,0.03,0.31,DF,Lecce,1.19,0.85,0.6,0.79,76.0,0.19,1.07,0.72,0.35,1.35,2.55,3.58,0.03,13.3
Stefan Posch,AUT,DF,Bologna,26.0,1997.0,28,26,2139,23.8,0.0,0.08,0.0,0.29,DF,Bologna,2.82,1.72,1.76,2.9,60.9,1.13,1.05,0.34,0.71,0.59,3.4,2.56,0.0,12.0
Luca Ranieri,ITA,DF,Fiorentina,25.0,1999.0,23,20,1795,19.9,0.1,0.05,0.0,0.65,DF,Fiorentina,0.4,0.3,0.3,0.55,54.5,0.25,1.16,0.5,0.65,1.36,1.76,2.76,0.0,10.6
Ricardo Rodríguez,SUI,DF,Torino,31.0,1992.0,32,31,2567,28.5,0.0,0.04,0.0,0.11,DF,Torino,1.47,0.81,0.91,1.51,60.5,0.6,0.63,0.28,0.35,0.77,2.25,2.18,0.07,8.97
Alessio Romagnoli,ITA,DF,Lazio,29.0,1995.0,26,23,2141,23.8,0.0,0.0,0.0,0.29,DF,Lazio,0.88,0.59,0.59,0.84,70.0,0.25,1.09,0.71,0.38,0.88,1.76,4.37,0.0,12.86
Simone Romagnoli,ITA,DF,Frosinone,34.0,1990.0,30,27,2463,27.4,0.04,0.04,0.0,0.22,DF,Frosinone,1.2,0.51,0.47,0.66,72.2,0.18,1.64,1.13,0.51,1.02,2.23,5.0,0.0,14.73
Amir Rrahmani,KVX,DF,Napoli,30.0,1994.0,27,27,2330,25.9,0.08,0.0,0.0,0.19,DF,Napoli,1.12,0.89,0.58,1.12,51.7,0.54,0.81,0.31,0.5,0.73,1.85,3.2,0.0,11.55
