Player,Nation,Pos_x,Squad_x,Age,Born,MP_x,Starts_x,Min_x,90s,Gls/90,Ast/90,CrdR/90,CrdY/90,Pos_y,Squad_y,MP_y,Starts_y,Min_y,GA,GA90,SoTA,Saves,Save%,CS,PKsv,PKm,PSave%,Performance_rating
Alban Lafont,FRA,GK,Nantes,25.0,1999.0,25,25,2226,24.7,0.0,0.0,0.0,0.04,GK,Nantes,25,25,2226,1.5,1.5,4.33,2.83,72.0,0.24,0.0,0.0,0.0,1.67
Benjamin Lecomte,FRA,GK,Montpellier,33.0,1991.0,30,30,2700,30.0,0.0,0.03,0.0,0.03,GK,Montpellier,30,30,2700,1.23,1.23,4.57,3.4,75.9,0.33,0.03,0.0,20.0,2.0
Anthony Lopes,POR,GK,Lyon,33.0,1990.0,28,28,2520,28.0,0.0,0.0,0.0,0.0,GK,Lyon,28,28,2520,1.61,1.61,5.04,3.43,70.9,0.29,0.04,0.0,20.0,2.08
Pau López,ESP,GK,Marseille,29.0,1994.0,30,30,2669,29.7,0.0,0.0,0.0,0.03,GK,Marseille,30,30,2669,1.21,1.21,3.8,2.59,69.9,0.24,0.0,0.0,0.0,1.53
Radosław Majecki,POL,GK,Monaco,24.0,1999.0,9,9,810,9.0,0.0,0.0,0.0,0.11,GK,Monaco,9,9,810,1.0,1.0,5.33,4.44,81.3,0.56,0.0,0.0,,2.63
Steve Mandanda,FRA,GK,Rennes,39.0,1985.0,31,31,2790,31.0,0.0,0.0,0.0,0.03,GK,Rennes,31,31,2790,1.32,1.32,4.39,3.16,71.3,0.23,0.0,0.0,0.0,1.55
Keylor Navas,CRC,GK,Paris S-G,37.0,1986.0,3,3,270,3.0,0.0,0.0,0.0,0.0,GK,Paris S-G,3,3,270,2.0,2.0,3.33,1.33,50.0,0.0,0.0,0.0,0.0,1.0
Massamba Ndiaye,SEN,GK,Clermont Foot,22.0,2001.0,4,4,360,4.0,0.0,0.0,0.0,0.0,GK,Clermont Foot,4,4,360,1.5,1.5,6.0,4.5,79.2,0.0,0.0,0.0,0.0,0.75
Alexandre Oukidja,ALG,GK,Metz,35.0,1988.0,31,31,2717,30.2,0.0,0.0,0.0,0.1,GK,Metz,31,31,2717,1.66,1.66,5.53,3.87,73.1,0.2,0.0,0.0,0.0,1.53
Denis Petrić,SRB,GK,Nantes,35.0,1988.0,1,0,24,0.3,0.0,0.0,0.0,0.0,GK,Nantes,1,0,24,3.33,3.75,3.33,0.0,0.0,0.0,0.0,0.0,,1.67
