Player,Nation,Age,MP,Starts,90s,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,CrdR/90,CrdY/90,PrgR/90,PrgC/90,PrgP/90,Performance_rating
Lorenzo Lucca,ITA,23.0,33,26,25.5,0.27,0.12,0.39,0.27,0.39,0.29,0.05,0.34,0.29,0.34,0.0,0.24,3.92,0.31,0.63,1.2
Romelu Lukaku,BEL,30.0,29,27,26.6,0.41,0.11,0.53,0.41,0.53,0.34,0.08,0.41,0.31,0.39,0.04,0.15,7.93,1.28,1.32,1.7
Zito Luvumbo,ANG,22.0,26,16,18.5,0.22,0.27,0.49,0.22,0.49,0.17,0.15,0.32,0.17,0.32,0.0,0.27,8.43,4.05,1.03,1.42
Lautaro Martínez,ARG,26.0,30,29,27.2,0.85,0.07,0.92,0.77,0.85,0.62,0.11,0.72,0.53,0.64,0.0,0.18,5.99,1.88,2.79,3.43
Dany Mota,POR,26.0,30,21,20.1,0.2,0.1,0.3,0.2,0.3,0.18,0.12,0.29,0.18,0.29,0.0,0.15,6.22,5.02,2.79,0.95
Dan Ndoye,SUI,23.0,29,17,17.3,0.0,0.06,0.06,0.0,0.06,0.23,0.09,0.32,0.23,0.32,0.0,0.23,8.84,4.91,1.97,-0.05
Riccardo Orsolini,ITA,27.0,29,18,18.4,0.54,0.11,0.65,0.44,0.54,0.39,0.22,0.61,0.27,0.49,0.0,0.11,9.18,2.66,3.7,2.38
Victor Osimhen,NGA,25.0,22,20,19.8,0.71,0.15,0.86,0.56,0.71,0.75,0.15,0.9,0.55,0.7,0.05,0.3,6.26,1.62,1.06,2.84
Roberto Pereyra,ARG,33.0,26,22,20.4,0.2,0.15,0.34,0.15,0.29,0.17,0.1,0.27,0.13,0.23,0.0,0.29,3.97,1.91,3.43,0.96
Andrea Pinamonti,ITA,24.0,34,34,31.1,0.32,0.03,0.35,0.29,0.32,0.25,0.06,0.31,0.2,0.26,0.0,0.1,4.69,0.55,1.25,1.27
Matteo Politano,ITA,30.0,33,27,23.2,0.34,0.22,0.56,0.26,0.47,0.26,0.25,0.51,0.19,0.44,0.04,0.09,8.49,4.57,6.55,1.81
Christian Pulisic,USA,25.0,32,28,24.9,0.4,0.24,0.64,0.4,0.64,0.26,0.15,0.41,0.26,0.41,0.0,0.08,10.08,4.38,2.81,2.24
Giacomo Raspadori,ITA,24.0,34,14,16.7,0.3,0.18,0.48,0.3,0.48,0.33,0.22,0.55,0.25,0.47,0.0,0.0,7.66,1.56,3.11,1.74
Mateo Retegui,ITA,25.0,26,23,21.7,0.28,0.09,0.37,0.28,0.37,0.23,0.03,0.26,0.23,0.26,0.0,0.23,4.84,0.78,0.69,1.16
Alexis Saelemaekers,BEL,24.0,26,19,18.7,0.21,0.11,0.32,0.21,0.32,0.14,0.15,0.29,0.14,0.29,0.05,0.37,9.09,3.37,3.8,0.65
Antonio Sanabria,PAR,28.0,31,21,21.3,0.23,0.0,0.23,0.14,0.14,0.42,0.06,0.49,0.35,0.41,0.0,0.09,4.84,0.89,2.44,0.83
Stephan El Shaarawy,ITA,31.0,30,18,17.9,0.17,0.17,0.34,0.17,0.34,0.13,0.12,0.26,0.13,0.26,0.0,0.11,6.98,2.4,2.18,1.08
Matìas Soulé,ARG,21.0,32,32,30.8,0.36,0.1,0.46,0.2,0.29,0.32,0.19,0.51,0.17,0.36,0.0,0.1,6.36,3.25,5.75,1.64
Loum Tchaouna,FRA,20.0,29,19,19.3,0.16,0.16,0.31,0.16,0.31,0.12,0.06,0.17,0.12,0.17,0.0,0.16,6.63,3.21,2.49,0.96
Florian Thauvin,FRA,31.0,29,19,19.0,0.26,0.16,0.42,0.21,0.37,0.25,0.22,0.47,0.21,0.43,0.0,0.21,5.11,3.74,3.63,1.31
Marcus Thuram,FRA,26.0,32,31,26.9,0.45,0.26,0.71,0.45,0.71,0.5,0.13,0.63,0.5,0.63,0.0,0.11,6.43,2.23,1.52,2.47
Dušan Vlahović,SRB,24.0,29,24,23.1,0.69,0.17,0.87,0.61,0.78,0.68,0.07,0.75,0.53,0.61,0.04,0.3,6.58,1.39,1.86,2.85
Mattia Zaccagni,ITA,28.0,24,20,18.8,0.27,0.0,0.27,0.27,0.27,0.24,0.1,0.34,0.24,0.34,0.0,0.32,10.32,4.36,2.55,0.76
Duván Zapata,COL,33.0,31,30,28.5,0.39,0.14,0.53,0.39,0.53,0.36,0.11,0.46,0.36,0.46,0.0,0.07,7.79,2.28,1.61,1.91
Joshua Zirkzee,NED,22.0,32,30,29.0,0.38,0.14,0.52,0.31,0.45,0.31,0.18,0.48,0.25,0.43,0.0,0.28,5.9,1.69,2.72,1.66
