Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Thibaut Courtois,BEL,GK,Real Madrid,32.0,1992,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Yan Couto,BRA,DF,Girona,21.0,2002,24.5,1.76,1.31,0.98,0.53,0.24,0.78,1.59,48.7,0.82,0.57,0.08,0.49,0.41,2.16,1.27,0.04
Crespo,POR,MF,Rayo Vallecano,27.0,1996,4.8,2.92,1.88,1.46,1.04,0.42,1.67,2.71,61.5,1.04,2.71,1.25,1.46,1.67,4.58,0.63,0.00
Cristian,ESP,GK,Valencia,26.0,1998,0.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Juan Cruz Armada,ESP,DF,Osasuna,31.0,1992,17.5,1.37,0.74,0.80,0.51,0.06,0.86,1.31,65.2,0.46,0.80,0.40,0.40,0.63,2.00,2.17,0.06
Juan Cruz,ESP,FW,Betis,24.0,2000,0.8,0.00,0.00,0.00,0.00,0.00,0.00,1.25,0.0,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pau Cubarsí,ESP,DF,Barcelona,17.0,2007,14.6,1.37,0.89,1.10,0.21,0.07,0.75,1.03,73.3,0.27,1.16,1.03,0.14,0.68,2.05,3.77,0.00
Jorge Cuenca,ESP,DF,Villarreal,24.0,1999,19.9,1.81,1.26,1.16,0.40,0.25,0.80,1.31,61.5,0.50,1.21,0.65,0.55,1.06,2.86,5.43,0.00
Eric Curbelo,ESP,DF,Las Palmas,30.0,1994,1.0,2.00,1.00,1.00,1.00,0.00,1.00,2.00,50.0,1.00,3.00,1.00,2.00,2.00,4.00,5.00,1.00
Alberto Dadie,ESP,MF,Real Sociedad,21.0,2002,0.3,6.67,3.33,6.67,0.00,0.00,0.00,0.00,,0.00,3.33,0.00,3.33,0.00,6.67,0.00,0.00
Sergi Darder,ESP,MF,Mallorca,30.0,1993,21.2,1.65,1.08,0.52,0.90,0.24,0.47,1.27,37.0,0.80,0.94,0.19,0.75,0.75,2.41,0.66,0.00
Rodrigo De Paul,ARG,MF,Atlético Madrid,29.0,1994,20.3,1.43,0.94,0.49,0.64,0.30,0.64,1.72,37.1,1.08,1.23,0.05,1.18,0.49,1.92,0.74,0.10
Mouctar Diakhaby,GUI,DF,Valencia,27.0,1996,11.9,1.51,0.92,0.76,0.76,0.00,0.92,1.09,84.6,0.17,1.43,0.59,0.84,0.92,2.44,5.21,0.00
Moussa Diakité,MLI,MF,Cádiz,20.0,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Assane Diao,ESP,FW,Betis,18.0,2005,11.6,1.72,1.03,0.43,0.78,0.52,0.52,1.47,35.3,0.95,1.90,0.34,1.55,0.60,2.33,0.60,0.00
Brahim Díaz,MAR,FW,Real Madrid,24.0,1999,16.4,1.65,1.10,0.18,0.91,0.55,0.37,0.79,46.2,0.43,0.98,0.06,0.91,0.30,1.95,0.12,0.00
Víctor Díaz,ESP,DF,Granada,35.0,1988,1.8,2.78,1.67,1.11,1.67,0.00,0.56,1.67,33.3,1.11,0.56,0.00,0.56,0.56,3.33,4.44,0.00
Famara Diedhiou,SEN,FW,Granada,31.0,1992,1.0,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.0,1.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00
