Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Kevin Bonifazi,ITA,DF,Bologna,27.0,1996,1.0,4.00,0.00,0.00,4.00,0.00,1.00,2.00,50.0,1.00,0.00,0.00,0.00,0.00,4.00,7.00,1.00
Kevin Bonifazi,ITA,DF,Frosinone,27.0,1996,2.2,1.36,0.91,0.00,1.36,0.00,0.00,0.45,0.0,0.45,0.45,0.00,0.45,0.45,1.82,3.64,0.00
Gennaro Borrelli,ITA,FW,Frosinone,24.0,2000,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Erik Botheim,NOR,FW,Salernitana,24.0,2000,3.5,0.57,0.00,0.57,0.00,0.00,0.00,0.29,0.0,0.29,0.86,0.00,0.86,0.00,0.57,0.57,0.00
Mehdi Bourabia,MAR,MF,Frosinone,32.0,1991,2.2,2.27,1.82,0.45,1.82,0.00,0.91,1.82,50.0,0.91,1.36,0.00,1.36,0.00,2.27,1.82,0.00
Edoardo Bove,ITA,MF,Roma,21.0,2002,17.1,3.22,1.70,0.88,1.70,0.64,1.58,2.63,60.0,1.05,1.23,0.06,1.17,0.47,3.68,0.58,0.06
Domagoj Bradarić,CRO,DF,Salernitana,24.0,1999,29.7,0.98,0.67,0.44,0.34,0.20,0.51,0.84,60.0,0.34,0.74,0.24,0.51,1.01,1.99,2.02,0.03
Josip Brekalo,CRO,FW,Fiorentina,25.0,1998,7.2,1.11,0.83,0.83,0.28,0.00,0.28,1.53,18.2,1.25,0.97,0.00,0.97,0.14,1.25,0.00,0.00
Gleison Bremer,BRA,DF,Juventus,27.0,1997,32.9,1.67,1.19,0.94,0.61,0.12,0.64,0.85,75.0,0.21,1.22,0.76,0.46,1.19,2.86,4.19,0.00
Brenner,BRA,FW,Udinese,24.0,2000,0.5,6.00,6.00,0.00,4.00,2.00,2.00,4.00,50.0,2.00,4.00,0.00,4.00,0.00,6.00,2.00,0.00
Marco Brescianini,ITA,MF,Frosinone,24.0,2000,21.9,1.19,0.55,0.55,0.50,0.14,0.37,1.05,34.8,0.68,0.96,0.23,0.73,0.41,1.60,1.64,0.00
Dylan Bronn,TUN,DF,Salernitana,28.0,1995,0.6,0.00,0.00,0.00,0.00,0.00,0.00,1.67,0.0,1.67,3.33,0.00,3.33,0.00,0.00,6.67,0.00
Tajon Buchanan,CAN,DF,Inter,25.0,1999,0.8,1.25,1.25,0.00,0.00,1.25,1.25,1.25,100.0,0.00,1.25,0.00,1.25,0.00,1.25,2.50,0.00
Alessandro Buongiorno,ITA,DF,Torino,24.0,1999,25.2,2.62,1.43,1.63,0.87,0.12,0.83,1.23,67.7,0.40,0.71,0.48,0.24,2.50,5.12,4.56,0.00
Rareș-Cătălin Burnete,ROU,FW,Lecce,20.0,2004,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jovane Cabral,CPV,MF,Salernitana,25.0,1998,7.5,1.73,1.20,0.53,0.93,0.27,0.40,1.20,33.3,0.80,0.40,0.00,0.40,0.13,1.87,0.53,0.00
Liberato Cacace,NZL,DF,Empoli,23.0,2000,19.9,1.91,1.16,1.21,0.55,0.15,1.16,1.86,62.2,0.70,1.06,0.25,0.80,0.75,2.66,2.61,0.00
Jens Cajuste,SWE,MF,Napoli,24.0,1999,8.0,3.25,2.25,1.38,1.50,0.38,1.88,3.00,62.5,1.13,1.63,0.25,1.38,0.50,3.75,1.38,0.00
Davide Calabria,ITA,DF,Milan,27.0,1996,23.3,2.96,1.63,1.63,1.03,0.30,1.85,3.00,61.4,1.16,1.07,0.26,0.82,0.99,3.95,2.06,0.04
Riccardo Calafiori,ITA,DF,Bologna,21.0,2002,23.3,1.67,1.20,0.99,0.56,0.13,0.82,1.24,65.5,0.43,1.59,0.56,1.03,1.89,3.56,2.83,0.13
Luca Caldirola,ITA,DF,Monza,33.0,1991,23.1,1.04,0.56,0.82,0.13,0.09,0.56,0.95,59.1,0.39,1.13,0.74,0.39,1.26,2.29,2.21,0.00
Hakan Çalhanoğlu,TUR,MF,Inter,30.0,1994,26.6,2.26,1.17,0.98,1.02,0.26,1.05,1.65,63.6,0.60,1.05,0.45,0.60,0.79,3.05,0.83,0.00
Francesco Camarda,ITA,FW,Milan,16.0,2008,0.2,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nicolò Cambiaghi,ITA,FW,Empoli,23.0,2000,26.9,1.71,1.30,0.52,0.67,0.52,0.56,1.23,45.5,0.67,0.93,0.04,0.89,0.52,2.23,0.26,0.00
Andrea Cambiaso,ITA,DF,Juventus,24.0,2000,23.9,1.63,1.00,0.84,0.54,0.25,0.88,1.51,58.3,0.63,1.13,0.08,1.05,0.46,2.09,1.05,0.00
Matteo Cancellieri,ITA,FW,Empoli,22.0,2002,16.8,1.79,1.13,0.60,0.89,0.30,0.71,1.85,38.7,1.13,1.01,0.00,1.01,0.36,2.14,1.07,0.00
Antonio Candreva,ITA,MF,Salernitana,37.0,1987,29.4,0.61,0.44,0.27,0.27,0.07,0.31,0.82,37.5,0.51,0.31,0.00,0.31,0.24,0.85,0.78,0.00
Luigi Canotto,ITA,FW,Frosinone,29.0,1994,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gianluca Caprari,ITA,MF,Monza,30.0,1993,2.8,0.71,0.36,0.36,0.36,0.00,0.00,0.36,0.0,0.36,0.00,0.00,0.00,0.71,1.43,0.00,0.00
Elia Caprile,ITA,GK,Empoli,22.0,2001,19.0,0.05,0.00,0.05,0.00,0.00,0.05,0.05,100.0,0.00,0.00,0.00,0.00,0.00,0.05,0.74,0.11
Francesco Caputo,ITA,FW,Empoli,36.0,1987,12.7,0.16,0.00,0.00,0.00,0.16,0.00,0.08,0.0,0.08,0.31,0.00,0.31,0.08,0.24,0.16,0.00
Andrea Carboni,ITA,DF,Monza,23.0,2001,16.5,2.30,1.33,1.45,0.73,0.12,1.21,1.88,64.5,0.67,1.39,0.79,0.61,1.03,3.33,3.39,0.06
Valentin Carboni,ARG,MF,Monza,19.0,2005,10.7,1.68,0.93,0.93,0.65,0.09,0.65,1.87,35.0,1.21,0.93,0.09,0.84,0.47,2.15,0.37,0.00
