Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Eren Dinkçi,GER,FW,Heidenheim,22.0,2001,26.9,1.08,0.63,0.52,0.45,0.11,0.67,1.75,38.3,1.08,1.34,0.11,1.23,0.41,1.49,0.78,0.00
Ritsu Doan,JPN,MF,Freiburg,25.0,1998,22.0,2.05,1.09,0.82,0.77,0.45,0.82,1.50,54.5,0.68,1.14,0.14,1.00,0.36,2.41,1.18,0.00
Danilho Doekhi,NED,DF,Union Berlin,25.0,1998,21.0,1.38,0.95,0.81,0.57,0.00,0.62,0.86,72.2,0.24,2.00,1.05,0.95,1.57,2.95,4.67,0.05
Niklas Dorsch,GER,MF,Augsburg,26.0,1998,13.3,2.41,1.58,0.90,1.43,0.08,0.90,2.18,41.4,1.28,1.05,0.68,0.38,1.13,3.53,1.73,0.00
Nikola Dovedan,AUT,MF,Heidenheim,29.0,1994,6.7,1.94,1.34,0.30,1.34,0.30,0.75,3.58,20.8,2.84,1.19,0.00,1.19,0.15,2.09,0.45,0.00
Damion Downs,GER,FW,Köln,19.0,2004,1.3,0.77,0.77,0.77,0.00,0.00,0.77,0.77,100.0,0.00,0.77,0.00,0.77,0.00,0.77,0.77,0.00
Dion Drena Beljo,CRO,FW,Augsburg,22.0,2002,6.1,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.0,0.33,1.31,0.16,1.15,0.16,0.16,0.66,0.00
Tim Drexler,GER,DF,Hoffenheim,19.0,2005,5.9,2.37,1.19,1.86,0.51,0.00,1.36,2.88,47.1,1.53,1.86,1.19,0.68,1.36,3.73,2.37,0.00
Marvin Ducksch,GER,FW,Werder Bremen,30.0,1994,27.0,0.30,0.11,0.15,0.11,0.04,0.22,0.48,46.2,0.26,0.00,0.00,0.00,0.11,0.41,0.81,0.00
Julien Duranville,BEL,FW,Dortmund,17.0,2006,0.1,10.0,0.00,0.00,10.0,0.00,10.0,10.0,100.0,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00
Maximilian Eggestein,GER,MF,Freiburg,27.0,1996,29.4,1.43,0.71,0.71,0.58,0.14,0.37,1.05,35.5,0.68,1.63,0.61,1.02,0.82,2.24,1.22,0.03
Lilian Egloff,GER,MF,Stuttgart,21.0,2002,1.2,3.33,0.83,2.50,0.83,0.00,1.67,3.33,50.0,1.67,2.50,0.83,1.67,0.83,4.17,0.00,0.00
Hugo Ekitike,FRA,FW,Eint Frankfurt,21.0,2002,5.1,1.76,1.37,0.59,0.98,0.20,0.59,0.98,60.0,0.39,1.37,0.00,1.37,0.00,1.76,0.78,0.00
Elif Elmas,MKD,MF,RB Leipzig,24.0,1999,1.8,3.89,2.78,0.56,2.78,0.56,3.33,4.44,75.0,1.11,1.67,0.00,1.67,0.56,4.44,0.56,0.00
Nico Elvedi,SUI,DF,M'Gladbach,27.0,1996,25.6,1.21,0.70,0.82,0.35,0.04,0.70,0.90,78.3,0.20,1.37,0.90,0.47,1.56,2.77,5.27,0.08
